id,assist,chance_created,goals_score,total_points,saves,clean_sheet
0,0,0,0,4,100,0
1,0,0,0,0,10,0
2,0,0,0,0,10,0
3,10,23,40,38,10,50
4,0,7,0,1,10,0
5,0,15,10,12,10,20
6,0,11,0,4,10,0
7,0,2,0,1,10,0
8,0,0,0,0,10,0
9,0,3,0,1,10,0
10,0,0,0,0,10,0
11,0,4,0,2,10,0
12,0,8,0,11,10,20
13,0,0,0,0,10,0
14,0,15,10,20,10,30
15,0,33,0,24,10,30
16,20,37,0,20,10,20
17,0,0,0,0,10,0
18,0,0,0,0,10,0
19,20,44,40,57,10,40
20,30,54,10,40,10,50
21,0,5,10,46,10,50
22,0,0,0,0,10,0
23,0,0,0,0,10,0
24,10,8,0,10,10,0
25,0,0,0,0,10,0
26,0,11,0,39,10,50
27,0,8,0,17,10,20
28,0,22,0,18,10,50
29,0,1,0,2,10,0
30,0,2,0,1,10,0
31,0,0,0,0,10,0
32,0,28,10,25,10,30
33,0,0,0,46,260,50
34,0,0,0,0,10,0
35,0,12,0,34,10,50
36,0,0,0,1,20,0
37,0,0,0,0,10,0
38,0,0,0,44,310,30
39,0,0,0,0,10,0
40,10,1,0,7,10,0
41,0,0,0,0,10,0
42,10,42,20,33,10,20
43,0,0,10,17,10,10
44,0,0,0,0,10,0
45,20,5,0,31,10,30
46,10,39,0,19,10,20
47,10,19,20,27,10,20
48,0,3,0,10,10,0
49,0,14,10,14,10,10
50,10,41,10,27,10,20
51,0,17,10,39,10,40
52,0,5,0,21,10,30
53,0,0,0,0,10,0
54,0,0,0,1,10,0
55,0,0,0,0,10,0
56,0,0,0,1,10,0
57,20,35,0,25,10,40
58,0,18,10,20,10,30
59,0,9,0,11,10,10
60,0,0,0,12,10,10
61,20,8,30,39,10,30
62,30,9,10,22,10,0
63,0,0,0,0,10,0
64,0,0,0,1,10,0
65,0,1,0,2,10,0
66,0,0,0,3,10,0
67,0,0,0,0,10,0
68,0,0,0,0,10,0
69,30,6,0,43,10,30
70,10,16,10,31,10,30
71,20,38,20,38,10,30
72,0,0,0,0,10,0
73,0,0,0,34,230,30
74,10,24,10,34,10,40
75,0,0,0,0,10,0
76,0,23,10,38,10,30
77,0,23,10,25,10,40
78,10,11,10,14,10,0
79,10,49,0,17,10,0
80,0,6,0,1,10,0
81,0,0,0,6,10,0
82,0,1,0,3,10,0
83,0,0,0,1,10,0
84,10,18,10,43,10,30
85,0,0,0,0,10,0
86,0,0,0,0,10,0
87,0,0,0,0,10,0
88,0,0,0,0,10,0
89,0,34,20,32,10,30
90,0,0,0,3,10,0
91,0,11,0,16,10,20
92,0,4,0,24,10,30
93,0,0,0,0,10,0
94,0,2,0,6,10,20
95,0,0,20,16,10,0
96,0,0,0,3,70,0
97,0,0,0,0,10,0
98,0,9,10,12,10,0
99,0,0,0,0,10,0
100,0,0,0,0,10,0
101,10,18,0,23,10,40
102,0,0,0,0,10,0
103,20,61,0,25,10,30
104,10,4,10,42,10,40
105,0,0,0,0,10,0
106,0,3,0,13,10,20
107,0,5,0,41,10,40
108,10,30,0,19,10,20
109,0,4,0,10,10,10
110,10,21,0,23,10,20
111,0,24,40,35,10,30
112,10,53,30,51,10,40
113,0,0,0,0,10,0
114,0,0,0,0,10,0
115,0,0,0,0,10,0
116,0,6,0,35,260,40
117,10,7,0,18,10,20
118,0,11,0,4,10,0
119,0,0,0,2,10,0
120,0,5,0,3,10,0
121,10,12,20,27,10,10
122,10,15,0,19,10,20
123,0,3,10,14,10,10
124,10,4,10,16,10,0
125,0,0,0,0,10,0
126,0,0,0,0,10,0
127,0,0,0,0,10,0
128,0,0,0,0,10,0
129,0,2,0,1,10,0
130,0,0,0,0,10,0
131,0,0,0,0,10,0
132,0,40,0,27,10,30
133,0,0,0,0,10,0
134,0,0,0,0,10,0
135,0,1,10,22,10,10
136,0,0,0,0,10,0
137,0,0,0,3,10,0
138,0,1,0,7,10,0
139,0,0,0,0,10,0
140,0,0,0,0,10,0
141,10,6,0,10,10,10
142,0,15,0,9,10,10
143,0,5,10,17,10,0
144,30,46,0,28,10,10
145,10,20,0,19,10,10
146,0,17,20,32,10,10
147,30,32,10,38,10,10
148,10,5,10,19,10,0
149,0,2,0,27,340,10
150,10,28,0,26,10,10
151,0,0,0,0,10,0
152,0,31,0,18,10,10
153,0,0,0,0,10,0
154,0,0,0,0,10,0
155,10,45,0,26,10,10
156,0,4,0,8,10,10
157,0,0,0,0,10,0
158,0,0,0,0,10,0
159,0,0,0,0,10,0
160,0,0,0,0,10,0
161,0,0,0,3,10,0
162,0,12,40,33,10,10
163,0,0,0,0,10,0
164,30,20,0,42,10,40
165,0,0,0,0,10,0
166,0,10,10,39,10,40
167,10,35,10,39,10,40
168,10,25,10,33,10,50
169,0,18,0,6,10,10
170,50,38,10,46,10,60
171,0,0,0,0,10,0
172,10,23,10,53,10,60
173,0,0,0,6,30,10
