id,name,team,position,assist,chance_created,goals_score,goals_conceded,total_points,price,code
0,Bernd Leno,Arsenal,Goalkeepers,0,0,0,9,4,46,80201
1,Rúnar Alex Rúnarsson,Arsenal,Goalkeepers,0,0,0,0,0,40,115918
2,Willian Borges Da Silva,Arsenal,Midfielders,0,0,0,0,0,63,47431
3,Pierre-Emerick Aubameyang,Arsenal,Forwards,1,114,4,8,38,101,54694
4,Cédric Soares,Arsenal,Defenders,0,36,0,7,1,42,58822
5,Alexandre Lacazette,Arsenal,Forwards,0,73,1,2,12,83,59966
6,Granit Xhaka,Arsenal,Midfielders,0,53,0,10,4,49,84450
7,Pablo Marí,Arsenal,Defenders,0,12,0,4,1,42,92371
8,Héctor Bellerín,Arsenal,Defenders,0,0,0,0,0,48,98745
9,Calum Chambers,Arsenal,Defenders,0,17,0,7,1,42,101184
10,Sead Kolasinac,Arsenal,Defenders,0,0,0,5,0,43,111457
11,Mohamed Naser El Sayed Elneny,Arsenal,Midfielders,0,21,0,2,2,45,153256
12,Ainsley Maitland-Niles,Arsenal,Midfielders,0,41,0,2,11,53,154043
13,Rob Holding,Arsenal,Defenders,0,0,0,7,0,42,156074
14,Thomas Partey,Arsenal,Midfielders,0,77,1,4,20,50,167199
15,Kieran Tierney,Arsenal,Defenders,0,167,0,12,24,48,192895
16,Nicolas Pépé,Arsenal,Midfielders,2,187,0,6,20,70,195735
17,Lucas Torreira,Arsenal,Midfielders,0,0,0,0,0,45,198849
18,Edward Nketiah,Arsenal,Forwards,0,0,0,0,0,54,205533
19,Emile Smith Rowe,Arsenal,Midfielders,2,221,4,13,57,58,209289
20,Bukayo Saka,Arsenal,Midfielders,3,269,1,8,40,63,223340
21,Gabriel Magalhães,Arsenal,Defenders,0,26,1,4,46,51,226597
22,Konstantinos Mavropanos,Arsenal,Defenders,0,0,0,0,0,45,233963
23,Mattéo Guendouzi,Arsenal,Midfielders,0,0,0,0,0,45,242166
24,Gabriel Teodoro Martinelli Silva,Arsenal,Midfielders,1,40,0,3,10,52,444145
25,William Saliba,Arsenal,Defenders,0,0,0,0,0,45,462424
26,Ben White,Arsenal,Defenders,0,56,0,6,39,44,198869
27,Nuno Varela Tavares,Arsenal,Defenders,0,39,0,1,17,43,437626
28,Albert Sambi Lokonga,Arsenal,Midfielders,0,108,0,6,18,48,437742
29,Folarin Balogun,Arsenal,Forwards,0,4,0,1,2,48,232223
30,Reiss Nelson,Arsenal,Midfielders,0,12,0,1,1,50,200641
31,Karl Hein,Arsenal,Goalkeepers,0,0,0,0,0,40,463748
32,Martin Ødegaard,Arsenal,Midfielders,0,140,1,7,25,55,184029
33,Aaron Ramsdale,Arsenal,Goalkeepers,0,0,0,4,46,47,225321
34,Arthur Okonkwo,Arsenal,Goalkeepers,0,0,0,0,0,40,220682
35,Takehiro Tomiyasu,Arsenal,Defenders,0,62,0,4,34,46,223723
36,Jed Steer,Aston Villa,Goalkeepers,0,0,0,3,1,40,79852
37,Conor Hourihane,Aston Villa,Midfielders,0,0,0,0,0,49,85242
38,Emiliano Martínez,Aston Villa,Goalkeepers,0,0,0,17,44,55,98980
39,Björn Engels,Aston Villa,Defenders,0,0,0,0,0,45,108156
40,Bertrand Traoré,Aston Villa,Midfielders,1,3,0,1,7,57,110504
41,Morgan Sanson,Aston Villa,Midfielders,0,0,0,0,0,50,122775
42,John McGinn,Aston Villa,Midfielders,1,212,2,19,33,58,122806
43,Kortney Hause,Aston Villa,Defenders,0,2,1,6,17,44,123354
44,Mahmoud Ahmed Ibrahim Hassan,Aston Villa,Midfielders,0,0,0,0,0,54,148508
45,Tyrone Mings,Aston Villa,Defenders,2,26,0,17,31,49,149484
46,Matt Targett,Aston Villa,Defenders,1,197,0,19,19,47,169359
47,Ollie Watkins,Aston Villa,Forwards,1,95,2,16,27,73,178301
48,Marvelous Nakamba,Aston Villa,Midfielders,0,13,0,12,10,45,184704
49,Anwar El Ghazi,Aston Villa,Midfielders,0,70,1,6,14,56,193488
50,Emiliano Buendía Stati,Aston Villa,Midfielders,1,203,1,11,27,62,195546
51,Matthew Cash,Aston Villa,Defenders,0,86,1,17,39,51,199796
52,Ezri Konsa Ngoyo,Aston Villa,Defenders,0,26,0,19,21,49,199798
53,Frédéric Guilbert,Aston Villa,Defenders,0,0,0,0,0,45,203368
54,Wesley Moraes,Aston Villa,Forwards,0,0,0,0,1,54,213345
55,Mbwana Ally Samatta,Aston Villa,Forwards,0,0,0,0,0,55,217487
56,Keinan Davis,Aston Villa,Forwards,0,1,0,0,1,44,221239
57,Douglas Luiz Soares de Paulo,Aston Villa,Midfielders,2,176,0,8,25,45,230046
58,Jacob Ramsey,Aston Villa,Midfielders,0,92,1,8,20,45,232653
59,Ashley Young,Aston Villa,Defenders,0,43,0,10,11,47,18892
60,Axel Tuanzebe,Aston Villa,Defenders,0,1,0,10,12,45,180804
61,Danny Ings,Aston Villa,Forwards,2,38,3,14,39,77,84939
62,Leon Bailey,Aston Villa,Midfielders,3,46,1,6,22,64,215711
63,Aaron Ramsey,Aston Villa,Midfielders,0,0,0,0,0,45,447715
64,Jaden Philogene-Bidace,Aston Villa,Midfielders,0,0,0,0,1,50,481624
65,Carney Chukwuemeka,Aston Villa,Midfielders,0,3,0,1,2,45,478912
66,Cameron Archer,Aston Villa,Forwards,0,1,0,0,3,45,433979
67,Viljami Sinisalo,Aston Villa,Goalkeepers,0,0,0,0,0,40,248164
68,Lamare Bogarde,Aston Villa,Defenders,0,0,0,0,0,40,515597
69,Pontus Jansson,Brentford,Defenders,3,29,0,14,43,47,61810
70,Christian Nørgaard,Brentford,Midfielders,1,79,1,14,31,50,128295
71,Ivan Toney,Brentford,Forwards,2,190,2,14,38,67,144485
72,Tariqe Fosu-Henry,Brentford,Midfielders,0,0,0,0,0,51,154138
73,David Raya Martin,Brentford,Goalkeepers,0,0,0,9,34,45,154561
74,Sergi Canós,Brentford,Midfielders,1,118,1,13,34,55,174932
75,Pelenda Joshua Dasilva,Brentford,Midfielders,0,0,0,0,0,53,183656
76,Rico Henry,Brentford,Defenders,0,116,1,14,38,45,194010
77,Vitaly Janelt,Brentford,Midfielders,0,115,1,6,25,50,204580
78,Saman Ghoddos,Brentford,Midfielders,1,54,1,1,14,53,205836
79,Mathias Jensen,Brentford,Midfielders,1,244,0,10,17,49,207283
80,Charlie Goode,Brentford,Defenders,0,31,0,1,1,39,213687
81,Marcus Forss,Brentford,Forwards,0,2,0,4,6,53,216620
82,Mads Roerslev Rasmussen,Brentford,Defenders,0,5,0,1,3,43,226956
83,Mads Bech Sørensen,Brentford,Defenders,0,0,0,0,1,43,228044
84,Ethan Pinnock,Brentford,Defenders,1,89,1,11,43,47,231065
85,Ellery Balcombe,Brentford,Goalkeepers,0,0,0,0,0,40,235448
86,Jan Zamburek,Brentford,Midfielders,0,0,0,0,0,45,420922
87,Patrik Gunnarsson,Brentford,Goalkeepers,0,0,0,0,0,39,434024
88,Halil Dervişoğlu,Brentford,Forwards,0,0,0,0,0,54,434662
89,Bryan Mbeumo,Brentford,Midfielders,0,172,2,10,32,56,446008
90,Mads Bidstrup,Brentford,Midfielders,0,0,0,0,3,45,481405
91,Frank Onyeka,Brentford,Midfielders,0,54,0,11,16,49,428580
92,Kristoffer Ajer,Brentford,Defenders,0,22,0,6,24,45,191866
93,Dominic Thompson,Brentford,Defenders,0,0,0,0,0,44,232247
94,Shandon Baptiste,Brentford,Midfielders,0,8,0,0,6,49,432160
95,Yoane Wissa,Brentford,Midfielders,0,1,2,0,16,59,216646
96,Álvaro Fernández,Brentford,Goalkeepers,0,0,0,5,3,45,240796
97,Finley Stevens,Brentford,Defenders,0,0,0,0,0,40,450550
98,Mathias Jorgensen,Brentford,Defenders,0,45,1,10,12,45,48760
99,Paris Maghoma,Brentford,Midfielders,0,0,0,0,0,45,220695
100,Matthew Cox,Brentford,Goalkeepers,0,0,0,0,0,40,503300
101,Adam Lallana,Brighton,Midfielders,1,92,0,11,23,54,39155
102,Jason Steele,Brighton,Goalkeepers,0,0,0,0,0,40,49262
103,Pascal Groß,Brighton,Midfielders,2,304,0,7,25,59,60307
104,Shane Duffy,Brighton,Defenders,1,20,1,8,42,44,61933
105,Davy Pröpper,Brighton,Midfielders,0,0,0,0,0,45,66242
106,Dan Burn,Brighton,Defenders,0,17,0,4,13,44,78916
107,Lewis Dunk,Brighton,Defenders,0,25,0,12,41,50,83299
108,Solomon March,Brighton,Midfielders,1,148,0,8,19,53,109345
109,Adam Webster,Brighton,Defenders,0,19,0,3,10,44,110735
110,Joël Veltman,Brighton,Defenders,1,106,0,10,23,44,111478
111,Neal Maupay,Brighton,Forwards,0,118,4,9,35,65,115382
112,Leandro Trossard,Brighton,Midfielders,1,265,3,12,51,65,116216
113,Mathew Ryan,Brighton,Goalkeepers,0,0,0,0,0,45,131897
114,Alireza Jahanbakhsh,Brighton,Midfielders,0,0,0,0,0,55,165210
115,Bernardo Fernandes Da Silva Junior,Brighton,Defenders,0,0,0,0,0,40,209362
116,Robert Sánchez,Brighton,Goalkeepers,0,30,0,12,35,46,215059
117,Yves Bissouma,Brighton,Midfielders,1,34,0,7,18,44,227127
118,Tariq Lamptey,Brighton,Defenders,0,53,0,2,4,44,232792
119,Aaron Connolly,Brighton,Forwards,0,1,0,0,2,53,233425
120,Steven Alzate,Brighton,Midfielders,0,24,0,1,3,48,235382
121,Alexis Mac Allister,Brighton,Midfielders,1,58,2,3,27,54,243016
122,Jakub Moder,Brighton,Midfielders,1,77,0,8,19,45,243505
123,Danny Welbeck,Brighton,Forwards,0,17,1,2,14,60,50175
124,Enock Mwepu,Brighton,Midfielders,1,22,1,4,16,59,423649
125,Kjell Scherpen,Brighton,Goalkeepers,0,0,0,0,0,45,240514
126,Florin Andone,Brighton,Forwards,0,0,0,0,0,50,93284
127,Andi Zeqiri,Brighton,Forwards,0,0,0,0,0,45,204676
128,Michal Karbownik,Brighton,Defenders,0,0,0,0,0,40,442229
129,Taylor Richards,Brighton,Midfielders,0,12,0,0,1,45,209045
130,Moisés Caicedo,Brighton,Midfielders,0,0,0,0,0,45,486672
131,Haydon Roberts,Brighton,Defenders,0,0,0,0,0,40,433589
132,Marc Cucurella,Brighton,Defenders,0,200,0,9,27,50,179268
133,Jürgen Locadia,Brighton,Forwards,0,0,0,0,0,44,106757
134,Jeremy Sarmiento,Brighton,Midfielders,0,0,0,0,0,45,441192
