id,assist,chance_created,goals_score,goals_conceded,total_points,price
0,0,0,0,90,4,46
1,0,0,0,0,0,40
2,0,0,0,0,0,63
3,10,11,40,80,38,101
4,0,4,0,70,1,42
5,0,7,10,20,12,83
6,0,5,0,100,4,49
7,0,1,0,40,1,42
8,0,0,0,0,0,48
9,0,2,0,70,1,42
10,0,0,0,50,0,43
11,0,2,0,20,2,45
12,0,4,0,20,11,53
13,0,0,0,70,0,42
14,0,8,10,40,20,50
15,0,17,0,120,24,48
16,20,19,0,60,20,70
17,0,0,0,0,0,45
18,0,0,0,0,0,54
19,20,22,40,130,57,58
20,30,27,10,80,40,63
21,0,3,10,40,46,51
22,0,0,0,0,0,45
23,0,0,0,0,0,45
24,10,4,0,30,10,52
25,0,0,0,0,0,45
26,0,6,0,60,39,44
27,0,4,0,10,17,43
28,0,11,0,60,18,48
29,0,0,0,10,2,48
30,0,1,0,10,1,50
31,0,0,0,0,0,40
32,0,14,10,70,25,55
33,0,0,0,40,46,47
34,0,0,0,0,0,40
35,0,6,0,40,34,46
36,0,0,0,30,1,40
37,0,0,0,0,0,49
38,0,0,0,170,44,55
39,0,0,0,0,0,45
40,10,0,0,10,7,57
41,0,0,0,0,0,50
42,10,21,20,190,33,58
43,0,0,10,60,17,44
44,0,0,0,0,0,54
45,20,3,0,170,31,49
46,10,20,0,190,19,47
47,10,10,20,160,27,73
48,0,1,0,120,10,45
49,0,7,10,60,14,56
50,10,20,10,110,27,62
51,0,9,10,170,39,51
52,0,3,0,190,21,49
53,0,0,0,0,0,45
54,0,0,0,0,1,54
55,0,0,0,0,0,55
56,0,0,0,0,1,44
57,20,18,0,80,25,45
58,0,9,10,80,20,45
59,0,4,0,100,11,47
60,0,0,0,100,12,45
61,20,4,30,140,39,77
62,30,5,10,60,22,64
63,0,0,0,0,0,45
64,0,0,0,0,1,50
65,0,0,0,10,2,45
66,0,0,0,0,3,45
67,0,0,0,0,0,40
68,0,0,0,0,0,40
69,30,3,0,140,43,47
70,10,8,10,140,31,50
71,20,19,20,140,38,67
72,0,0,0,0,0,51
73,0,0,0,90,34,45
74,10,12,10,130,34,55
75,0,0,0,0,0,53
76,0,12,10,140,38,45
77,0,12,10,60,25,50
78,10,5,10,10,14,53
79,10,24,0,100,17,49
80,0,3,0,10,1,39
81,0,0,0,40,6,53
82,0,1,0,10,3,43
83,0,0,0,0,1,43
84,10,9,10,110,43,47
85,0,0,0,0,0,40
86,0,0,0,0,0,45
87,0,0,0,0,0,39
88,0,0,0,0,0,54
89,0,17,20,100,32,56
90,0,0,0,0,3,45
91,0,5,0,110,16,49
92,0,2,0,60,24,45
93,0,0,0,0,0,44
94,0,1,0,0,6,49
95,0,0,20,0,16,59
96,0,0,0,50,3,45
97,0,0,0,0,0,40
98,0,4,10,100,12,45
99,0,0,0,0,0,45
100,0,0,0,0,0,40
101,10,9,0,110,23,54
102,0,0,0,0,0,40
103,20,30,0,70,25,59
104,10,2,10,80,42,44
105,0,0,0,0,0,45
106,0,2,0,40,13,44
107,0,3,0,120,41,50
108,10,15,0,80,19,53
109,0,2,0,30,10,44
110,10,11,0,100,23,44
111,0,12,40,90,35,65
112,10,26,30,120,51,65
113,0,0,0,0,0,45
114,0,0,0,0,0,55
115,0,0,0,0,0,40
116,0,3,0,120,35,46
117,10,3,0,70,18,44
118,0,5,0,20,4,44
119,0,0,0,0,2,53
120,0,2,0,10,3,48
121,10,6,20,30,27,54
122,10,8,0,80,19,45
123,0,2,10,20,14,60
124,10,2,10,40,16,59
125,0,0,0,0,0,45
126,0,0,0,0,0,50
127,0,0,0,0,0,45
128,0,0,0,0,0,40
129,0,1,0,0,1,45
130,0,0,0,0,0,45
131,0,0,0,0,0,40
132,0,20,0,90,27,50
133,0,0,0,0,0,44
134,0,0,0,0,0,45
135,0,0,10,170,22,49
136,0,0,0,0,0,39
137,0,0,0,20,3,43
138,0,1,0,80,7,45
139,0,0,0,0,0,45
140,0,0,0,0,0,40
141,10,3,0,0,10,53
142,0,7,0,100,9,53
143,0,2,10,130,17,49
144,30,23,0,150,28,53
145,10,10,0,110,19,54
146,0,9,20,170,32,67
147,30,16,10,170,38,44
148,10,2,10,30,19,52
149,0,1,0,170,27,54
150,10,14,0,150,26,44
151,0,0,0,0,0,44
152,0,16,0,150,18,44
153,0,0,0,0,0,45
154,0,0,0,0,0,45
155,10,22,0,170,26,58
156,0,2,0,40,8,43
157,0,0,0,0,0,45
158,0,0,0,0,0,45
159,0,0,0,0,0,40
160,0,0,0,0,0,40
161,0,0,0,10,3,50
162,0,6,40,50,33,60
163,0,0,0,0,0,45
164,30,10,0,30,42,59
165,0,0,0,0,0,65
166,0,5,10,30,39,55
167,10,18,10,20,39,56
168,10,12,10,30,33,58
169,0,9,0,0,6,52
170,50,19,10,20,46,52
171,0,0,0,0,0,55
172,10,11,10,40,53,59
173,0,0,0,0,6,48
174,0,8,10,30,16,49
175,0,7,0,0,7,73
176,30,5,0,20,19,54
177,0,6,0,30,36,50
178,10,3,10,20,18,86
179,0,12,30,20,45,60
180,0,0,0,0,0,65
181,0,0,10,0,9,79
182,30,18,30,10,42,75
183,0,0,0,0,0,45
184,10,14,10,20,21,53
185,10,6,20,20,36,81
186,30,21,40,20,63,59
187,0,0,0,40,53,62
188,0,0,0,0,8,49
189,0,3,20,10,44,49
190,0,13,30,30,31,115
191,0,0,0,0,1,45
192,0,0,0,0,2,51
193,0,0,0,0,0,40
194,40,27,40,110,62,58
195,0,0,0,140,43,45
196,0,0,0,10,1,43
197,20,16,0,120,33,45
198,10,12,20,80,30,63
199,0,1,0,90,32,45
200,0,0,0,0,0,39
201,0,5,0,40,10,54
202,10,11,0,110,19,58
203,10,20,40,110,48,70
204,0,3,10,30,15,54
205,0,0,0,0,0,44
206,0,3,0,50,3,48
207,0,0,0,0,0,43
208,0,0,0,20,2,53
209,0,0,0,0,0,59
210,0,0,0,0,0,45
211,10,13,0,140,38,45
212,0,0,0,0,0,47
213,20,8,10,30,19,54
214,0,4,0,140,32,45
215,0,2,0,140,34,45
216,0,5,0,120,31,45
217,0,0,0,0,0,43
218,0,0,0,0,0,40
219,0,0,0,0,1,45
220,0,0,0,0,0,45
221,0,0,0,0,0,45
222,0,0,0,0,0,40
223,0,9,30,60,30,65
224,0,2,0,0,2,44
225,0,0,0,0,0,68
226,10,7,0,120,22,49
227,0,0,0,0,0,69
228,0,0,0,0,0,55
229,0,27,0,140,24,51
230,20,6,10,160,47,50
231,0,1,0,130,32,50
232,20,13,0,150,32,46
233,0,2,0,30,3,49
234,40,12,20,90,45,54
235,10,12,10,120,25,58
236,0,0,0,70,12,49
237,0,1,10,50,11,49
238,0,4,30,30,23,80
239,0,0,0,30,7,42
240,0,6,0,130,19,48
241,10,10,20,100,23,74
242,0,0,0,0,0,40
243,0,0,0,30,1,40
244,20,33,30,140,52,56
245,20,23,30,120,48,57
246,0,0,0,0,1,44
247,0,8,0,30,10,45
248,0,0,0,20,2,45
249,0,0,0,0,0,40
250,0,0,0,0,0,45
251,0,0,0,0,1,60
252,0,0,0,0,0,40
253,0,0,0,0,0,40
254,0,5,0,70,11,60
255,0,0,0,0,0,45
256,0,0,0,0,2,45
257,0,0,0,0,0,45
258,0,0,0,0,0,40
259,0,0,0,0,0,50
260,0,0,0,0,0,40
261,0,0,0,180,31,50
262,0,0,0,70,6,54
263,0,4,10,20,10,52
264,0,0,0,0,0,44
265,0,0,0,0,0,40
266,10,14,70,160,60,108
267,0,0,0,0,0,49
268,20,8,0,120,21,53
